Time,Frame,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,MagX,MagY,MagZ,Roll,Pitch,Yaw,Qw,Qx,Qy,Qz
23-36-54.060,161,0.256,-0.896,0.519,-27.255,-3.462,41.392,19,26,15,-47.91,-15.49,-99.43,0.544,-0.354,0.227,-0.726
23-36-54.070,162,0.272,-0.876,0.350,9.119,-8.766,42.118,20,26,15,-48.22,-15.21,-99.08,0.546,-0.355,0.230,-0.723
23-36-54.080,163,0.287,-0.774,0.126,102.672,-0.293,34.599,20,26,15,-48.12,-14.96,-98.73,0.549,-0.353,0.229,-0.722
23-36-54.091,164,0.215,-0.644,0.144,274.006,25.109,25.779,20,26,13,-46.93,-14.69,-98.52,0.555,-0.347,0.223,-0.723
23-36-54.100,165,0.219,-0.621,0.265,431.062,50.959,13.512,20,27,9,-43.98,-14.32,-98.55,0.565,-0.330,0.206,-0.728
23-36-54.111,166,0.180,-0.710,0.568,584.363,59.923,2.039,20,27,5,-39.43,-13.84,-98.81,0.577,-0.304,0.180,-0.736
23-36-54.121,167,0.232,-0.520,0.917,755.940,62.049,-35.840,20,27,-2,-33.14,-13.38,-99.20,0.592,-0.269,0.143,-0.746
23-36-54.131,168,0.283,0.054,0.924,882.458,45.243,-73.412,19,25,-8,-25.28,-13.05,-99.87,0.605,-0.225,0.095,-0.758
23-36-54.141,169,0.212,0.337,0.856,973.430,43.925,-57.863,18,22,-16,-16.14,-12.90,-100.72,0.615,-0.175,0.036,-0.768
23-36-54.151,170,0.105,0.715,0.592,1107.820,60.698,-22.920,19,18,-24,-6.14,-12.54,-101.34,0.625,-0.118,-0.028,-0.771
23-36-54.161,171,-0.117,1.259,0.323,1447.069,70.061,-1.148,19,9,-33,5.37,-11.93,-101.56,0.632,-0.051,-0.102,-0.767
23-36-54.171,172,-0.065,1.726,1.123,1852.974,113.196,30.990,19,-4,-44,20.64,-11.21,-101.33,0.634,0.039,-0.199,-0.746
23-36-54.181,173,0.268,1.418,1.963,1671.700,166.398,46.752,21,-17,-47,39.03,-10.32,-100.42,0.624,0.148,-0.310,-0.702
23-36-54.191,174,0.193,0.947,1.147,609.183,119.510,33.818,22,-27,-48,54.04,-9.54,-98.91,0.606,0.238,-0.392,-0.650
23-36-54.200,175,0.244,1.088,0.707,163.303,28.265,-3.566,22,-30,-49,59.24,-9.19,-97.86,0.599,0.271,-0.417,-0.627
23-36-54.210,176,0.189,0.988,0.531,144.852,4.255,14.587,22,-31,-49,60.88,-9.05,-97.65,0.596,0.281,-0.425,-0.621
